Beryl,Beryl.1,Cosmos,Cosmos.1,# recordings,# neurons,# good neurons,canonical,stim_dec,stim_man,stim_euc,stim_glm,choice_dec,choice_man,choice_euc,choice_glm,fback_dec,fback_man,fback_euc,fback_glm,speed_dec,speed_glm,velocity_dec,velocity_glm,stim_dec_sig,stim_man_sig,stim_euc_sig,choice_dec_sig,choice_man_sig,choice_euc_sig,fback_dec_sig,fback_man_sig,fback_euc_sig,speed_dec_sig,velocity_dec_sig,prior_dec_ep,prior_dec_wf,prior_dec_ep_sig,prior_dec_wf_sig
LSv,Lateral septal nucleus ventral part,CNU,Cerebral nuclei,17,1303,164,True,-0.01,0.0,-0.53,-3.39,0.03,0.01,-0.8,-3.62,0.05,0.06,0.24,-2.77,0.04,-3.0,0.01,-3.98,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0039949511507052,,0.0,
SF,Septofimbrial nucleus,CNU,Cerebral nuclei,12,751,115,True,-0.01,0.0,-1.11,-3.11,0.07,0.02,-0.74,-3.37,0.08,0.06,-0.17,-2.75,0.05,-2.34,0.03,-3.73,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0069133442004296,,0.0,
SH,Septohippocampal nucleus,CNU,Cerebral nuclei,2,61,4,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAA,Anterior amygdalar area,CNU,Cerebral nuclei,3,265,25,True,0.03,0.0,-0.5,-3.34,0.07,0.0,-0.57,-3.63,0.35,0.32,0.2,-1.97,0.13,-2.56,0.04,-4.21,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0173484589921791,,0.0,
CEA,Central amygdalar nucleus,CNU,Cerebral nuclei,15,1101,159,True,0.02,0.0,-0.62,-2.72,0.04,0.01,-0.43,-3.51,0.08,0.13,-0.05,-2.1,0.01,-2.98,0.02,-3.75,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.005848539962214,,0.0,
IA,Intercalated amygdalar nucleus,CNU,Cerebral nuclei,2,82,18,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0059390102197404,,0.0,
MEA,Medial amygdalar nucleus,CNU,Cerebral nuclei,13,1435,184,True,0.0,0.0,-0.96,-3.7,0.03,0.0,-0.92,-3.79,0.11,0.07,-0.13,-3.08,0.01,-3.64,0.01,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0059456391978401,,0.0,
GPe,Globus pallidus external segment,CNU,Cerebral nuclei,13,1807,322,True,0.02,0.01,-0.41,-2.5,0.18,0.08,-0.36,-3.13,0.29,0.3,0.1,-1.89,0.12,-2.3,0.25,-2.72,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0039037394643246,,0.0,
GPi,Globus pallidus internal segment,CNU,Cerebral nuclei,6,415,45,True,0.02,0.02,-0.37,-2.39,0.17,0.05,-0.14,-2.96,0.37,0.52,0.49,-2.08,0.07,-2.26,0.19,-2.56,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0512678210701972,,0.0,
SI,Substantia innominata,CNU,Cerebral nuclei,27,1592,256,True,0.01,0.0,-0.73,-3.03,0.05,0.02,-0.7,-3.32,0.22,0.21,-0.2,-2.09,0.05,-2.55,0.01,-3.5,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0094236157102301,,0.0,
MA,Magnocellular nucleus,CNU,Cerebral nuclei,7,363,48,True,0.0,0.0,-0.64,-2.98,0.11,0.03,-0.61,-3.41,0.17,0.21,0.02,-2.47,0.03,-2.71,0.05,-3.54,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0098100015667858,,0.0,
MS,Medial septal nucleus,CNU,Cerebral nuclei,6,724,106,True,0.01,0.0,-0.49,-3.16,0.06,0.01,-0.6,-3.26,0.22,0.18,0.02,-2.37,0.17,-2.33,0.02,-3.06,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0004348639648997,,0.0,
NDB,Diagonal band nucleus,CNU,Cerebral nuclei,5,347,50,True,0.02,0.0,-0.44,-2.82,0.15,0.07,-0.14,-2.98,0.26,0.16,0.01,-1.96,0.17,-2.31,0.13,-3.01,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.0071054652108017,,0.0,
TRS,Triangular nucleus of septum,CNU,Cerebral nuclei,8,578,73,True,-0.01,0.0,-0.98,-3.14,-0.0,0.0,-0.88,-3.5,0.06,0.03,0.02,-2.87,0.07,-2.3,0.0,-3.55,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,-0.0041249018344098,,0.0,
BST,Bed nuclei of the stria terminalis,CNU,Cerebral nuclei,17,1797,207,True,-0.0,0.0,-1.07,-2.96,0.03,0.0,-1.01,-3.44,0.16,0.09,-0.4,-2.57,0.05,-2.99,0.02,-3.7,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0047387044315308,,0.0,
VAL,Ventral anterior-lateral complex of the thalamus,TH,Thalamus,11,1544,295,True,0.03,0.0,-0.65,-2.69,0.12,0.05,-0.45,-3.15,0.33,0.3,0.16,-1.79,0.13,-2.19,0.17,-2.93,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0244164266074744,,1.0,
VM,Ventral medial nucleus of the thalamus,TH,Thalamus,19,790,118,True,0.05,0.02,-0.45,-2.69,0.11,0.03,-0.64,-3.3,0.23,0.27,0.19,-1.94,0.05,-2.36,0.08,-3.09,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0052110064454077,,0.0,
VPL,Ventral posterolateral nucleus of the thalamus,TH,Thalamus,24,2799,436,True,0.02,0.0,-0.7,-2.77,0.15,0.05,-0.55,-3.16,0.19,0.16,-0.19,-2.23,0.13,-2.27,0.23,-2.82,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0545354858671623,,1.0,
VPLpc,Ventral posterolateral nucleus of the thalamus parvicellular part,TH,Thalamus,12,527,80,True,0.0,0.0,-0.81,-3.1,0.06,0.03,-0.81,-3.46,0.14,0.31,0.11,-1.99,0.06,-2.45,0.03,-3.62,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0384969866736056,,1.0,
VPM,Ventral posteromedial nucleus of the thalamus,TH,Thalamus,41,7984,1310,True,0.03,0.0,-1.13,-2.95,0.07,0.04,-0.8,-3.3,0.25,0.14,-0.28,-2.18,0.1,-2.5,0.09,-3.09,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0236486690431783,,1.0,
VPMpc,Ventral posteromedial nucleus of the thalamus parvicellular part,TH,Thalamus,10,456,67,True,0.04,0.0,-0.92,-2.94,0.03,0.02,-0.77,-3.43,0.19,0.09,-0.38,-2.11,0.01,-2.98,0.01,-3.68,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0154686396617698,,0.0,
PoT,Posterior triangular thalamic nucleus,TH,Thalamus,21,1591,228,True,0.01,0.0,-0.83,-2.93,0.07,0.01,-0.96,-3.32,0.27,0.18,0.26,-2.0,0.07,-2.63,0.07,-2.99,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0059771607490301,,0.0,
SPF,Subparafascicular nucleus,TH,Thalamus,21,758,70,True,0.01,0.0,-0.46,-2.88,0.16,0.15,-0.42,-3.23,0.19,0.28,0.19,-2.12,0.1,-2.57,0.06,-2.8,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.0029788021377505,,0.0,
SPA,Subparafascicular area,TH,Thalamus,7,347,25,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0022140029310167,,0.0,
PP,Peripeduncular nucleus,TH,Thalamus,4,105,13,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0049555320898515,,0.0,
MG,Medial geniculate complex,TH,Thalamus,16,1557,332,True,0.04,0.0,-0.93,-2.83,0.06,0.01,-1.07,-3.26,0.29,0.19,0.33,-1.98,0.08,-2.8,0.02,-3.83,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0224777201866604,,1.0,
LGd,Dorsal part of the lateral geniculate complex,TH,Thalamus,29,2925,557,True,0.03,0.03,-0.4,-2.79,0.05,0.01,-0.76,-3.49,0.1,0.06,-0.16,-2.48,0.03,-2.9,0.02,-3.84,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0164091790547004,,1.0,
LP,Lateral posterior nucleus of the thalamus,TH,Thalamus,85,8064,1812,True,0.03,0.01,-0.74,-2.91,0.06,0.01,-0.9,-3.41,0.17,0.08,-0.25,-2.42,0.04,-3.04,0.06,-3.84,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0069088916821329,,0.0,
PO,Posterior complex of the thalamus,TH,Thalamus,53,10659,2329,True,0.01,0.0,-1.27,-3.09,0.06,0.02,-1.06,-3.38,0.28,0.13,-0.45,-2.18,0.07,-2.69,0.08,-3.65,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0124526708433566,,1.0,
POL,Posterior limiting nucleus of the thalamus,TH,Thalamus,21,1378,166,True,0.01,0.01,-0.64,-2.91,0.08,0.07,-0.85,-3.15,0.31,0.22,0.3,-1.92,0.05,-2.62,0.03,-3.75,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,-0.0023842315719366,,0.0,
SGN,Suprageniculate nucleus,TH,Thalamus,11,571,131,True,-0.0,0.0,-0.61,-2.99,0.03,0.0,-0.83,-3.41,0.26,0.21,0.41,-2.1,0.02,-3.14,0.05,-3.61,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0036023020705383,,0.0,
Eth,Ethmoid nucleus of the thalamus,TH,Thalamus,21,1673,366,True,0.01,0.0,-0.96,-2.78,0.13,0.04,-0.76,-3.2,0.28,0.23,-0.44,-2.22,0.07,-2.85,0.14,-3.1,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0087416546512237,,0.0,
AV,Anteroventral nucleus of thalamus,TH,Thalamus,11,1418,203,True,0.03,0.0,-0.8,-2.95,0.05,0.05,-0.89,-3.32,0.14,0.1,-0.02,-2.37,0.07,-2.77,0.04,-3.68,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0028566855034077,,0.0,
AM,Anteromedial nucleus,TH,Thalamus,10,902,128,True,0.0,0.0,-0.98,-2.88,0.01,0.0,-1.02,-3.5,0.14,0.02,-0.17,-2.67,0.04,-2.99,0.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,-0.0014397754706371,,0.0,
AD,Anterodorsal nucleus,TH,Thalamus,3,229,15,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0019825888424889,,0.0,
IAM,Interanteromedial nucleus of the thalamus,TH,Thalamus,2,22,7,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002391419900126,,0.0,
IAD,Interanterodorsal nucleus of the thalamus,TH,Thalamus,4,125,23,True,0.01,0.0,-0.81,-3.19,0.06,0.0,-0.54,-3.78,0.11,0.04,0.13,-2.52,0.01,-3.4,0.03,-4.39,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0036873968930678,,0.0,
LD,Lateral dorsal nucleus of thalamus,TH,Thalamus,25,3062,581,True,0.01,0.0,-0.77,-3.02,0.06,0.02,-0.84,-3.33,0.17,0.09,-0.17,-2.37,0.08,-2.67,0.07,-3.92,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0041799278353521,,0.0,
IMD,Intermediodorsal nucleus of the thalamus,TH,Thalamus,2,6,1,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MD,Mediodorsal nucleus of thalamus,TH,Thalamus,23,2917,604,True,0.02,0.0,-0.91,-2.73,0.11,0.02,-0.82,-3.3,0.22,0.18,-0.23,-2.27,0.08,-2.73,0.1,-3.34,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0354503394765175,,1.0,
SMT,Submedial nucleus of the thalamus,TH,Thalamus,6,829,140,True,0.02,0.0,-0.58,-2.63,0.12,0.06,-0.06,-2.98,0.28,0.17,-0.46,-2.4,0.09,-2.74,0.16,-3.06,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0281339196182411,,0.0,
PR,Perireunensis nucleus,TH,Thalamus,5,196,28,True,-0.01,0.0,-0.56,-3.07,0.01,0.0,-0.64,-3.48,0.15,0.12,0.18,-2.4,0.05,-3.23,0.01,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.019737857606493,,0.0,
PVT,Paraventricular nucleus of the thalamus,TH,Thalamus,12,515,84,True,-0.01,0.0,-0.98,-3.79,0.03,0.0,-1.08,-3.88,0.04,0.12,-0.53,-3.03,0.05,-3.44,0.01,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0006108710490384,,0.0,
PT,Parataenial nucleus,TH,Thalamus,2,19,4,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RE,Nucleus of reuniens,TH,Thalamus,3,148,8,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0184652866305614,,0.0,
Xi,Xiphoid thalamic nucleus,TH,Thalamus,1,7,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RH,Rhomboid nucleus,TH,Thalamus,3,66,6,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CM,Central medial nucleus of the thalamus,TH,Thalamus,7,270,65,True,-0.01,0.0,-0.65,-2.7,0.11,0.08,-0.59,-3.41,0.16,0.25,0.12,-2.1,0.02,-2.9,0.05,-3.02,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.026836175923397,,1.0,
PCN,Paracentral nucleus,TH,Thalamus,12,389,84,True,0.01,0.0,-0.97,-2.98,0.0,0.02,-0.86,-3.45,0.22,0.21,-0.1,-1.87,0.05,-2.62,0.02,-3.22,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0148341856672221,,0.0,
CL,Central lateral nucleus of the thalamus,TH,Thalamus,12,433,38,True,0.17,0.04,0.02,-2.4,0.25,0.3,-0.03,-2.98,0.25,0.43,-0.07,-2.07,0.18,-2.27,0.21,-2.87,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0209759561498157,,0.0,
PF,Parafascicular nucleus,TH,Thalamus,10,1055,150,True,0.02,0.08,-0.0,-2.07,0.08,0.04,-0.17,-2.94,0.31,0.27,0.22,-1.96,0.17,-2.88,0.12,-2.99,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0625867176417201,,1.0,
PIL,Posterior intralaminar thalamic nucleus,TH,Thalamus,6,180,11,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RT,Reticular nucleus of the thalamus,TH,Thalamus,25,3177,421,True,0.02,0.0,-0.73,-2.59,0.1,0.07,-0.4,-2.98,0.36,0.28,0.28,-1.94,0.1,-2.13,0.13,-2.8,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0416082228521551,,1.0,
IGL,Intergeniculate leaflet of the lateral geniculate complex,TH,Thalamus,4,179,16,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0046245117891534,,0.0,
IntG,Intermediate geniculate nucleus,TH,Thalamus,2,35,6,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0037923062723311,,0.0,
LGv,Ventral part of the lateral geniculate complex,TH,Thalamus,10,1060,143,True,0.06,0.03,-0.72,-3.14,0.11,0.03,-0.84,-3.57,0.19,0.09,-0.29,-2.54,0.05,-3.38,0.05,-4.49,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0096686608098199,,0.0,
SubG,Subgeniculate nucleus,TH,Thalamus,1,48,7,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0788858531881942,,1.0,
MH,Medial habenula,TH,Thalamus,14,308,38,True,-0.01,0.0,-0.82,-2.43,0.03,0.0,-0.83,-3.67,0.13,0.17,0.11,-2.39,0.04,-3.26,0.01,-3.13,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0097502683010471,,0.0,
LH,Lateral habenula,TH,Thalamus,16,787,76,True,0.02,0.02,-0.76,-2.8,0.06,0.02,-0.52,-3.14,0.17,0.31,0.23,-2.07,0.02,-2.67,0.01,-3.39,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.027676665864607,,1.0,
PVH,Paraventricular hypothalamic nucleus,HY,Hypothalamus,2,67,5,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADP,Anterodorsal preoptic nucleus,HY,Hypothalamus,1,80,5,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0014003503640529,,0.0,
AVP,Anteroventral preoptic nucleus,HY,Hypothalamus,3,161,15,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0060364952434129,,0.0,
DMH,Dorsomedial nucleus of the hypothalamus,HY,Hypothalamus,4,140,16,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0011027093587731,,0.0,
MEPO,Median preoptic nucleus,HY,Hypothalamus,1,32,5,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0025535353750498,,0.0,
MPO,Medial preoptic area,HY,Hypothalamus,4,315,40,True,0.01,0.0,-0.63,-3.51,0.06,0.03,-0.69,-3.7,0.1,0.17,-0.21,-2.57,0.06,-3.09,0.0,-3.73,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0280543886956029,,1.0,
PS,Parastrial nucleus,HY,Hypothalamus,2,192,35,True,-0.0,0.0,-0.59,-3.19,0.04,0.0,-0.65,-3.36,0.22,0.11,-0.12,-2.21,0.12,-2.83,0.03,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0263638701665536,,0.0,
PVp,Periventricular hypothalamic nucleus posterior part,HY,Hypothalamus,1,3,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SFO,Subfornical organ,HY,Hypothalamus,1,1,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VLPO,Ventrolateral preoptic nucleus,HY,Hypothalamus,1,16,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AHN,Anterior hypothalamic nucleus,HY,Hypothalamus,4,180,10,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0015288747211478,,0.0,
LM,Lateral mammillary nucleus,HY,Hypothalamus,2,34,8,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0015408846518806,,0.0,
MM,Medial mammillary nucleus,HY,Hypothalamus,4,276,5,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0063861582915665,,0.0,
SUM,Supramammillary nucleus,HY,Hypothalamus,5,242,10,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0277595649187878,,0.0,
MPN,Medial preoptic nucleus,HY,Hypothalamus,1,24,2,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PMd,Dorsal premammillary nucleus,HY,Hypothalamus,1,54,2,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PMv,Ventral premammillary nucleus,HY,Hypothalamus,1,64,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PVHd,Paraventricular hypothalamic nucleus descending division,HY,Hypothalamus,5,109,6,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VMH,Ventromedial hypothalamic nucleus,HY,Hypothalamus,4,117,2,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PH,Posterior hypothalamic nucleus,HY,Hypothalamus,9,717,24,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.001179305423153,,0.0,
LHA,Lateral hypothalamic area,HY,Hypothalamus,16,1147,166,True,0.01,0.0,-0.81,-3.02,0.04,0.03,-0.73,-3.43,0.18,0.21,-0.05,-1.97,0.09,-2.5,0.07,-3.06,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,-0.001473188972038,,0.0,
LPO,Lateral preoptic area,HY,Hypothalamus,4,291,89,True,0.01,0.0,-0.73,-2.64,0.22,0.02,-0.58,-3.09,0.4,0.34,0.15,-1.73,0.3,-2.14,0.31,-2.48,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0573437171091964,,1.0,
PSTN,Parasubthalamic nucleus,HY,Hypothalamus,3,98,8,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0156505553080172,,0.0,
PeF,Perifornical nucleus,HY,Hypothalamus,5,196,28,True,0.06,0.0,-0.28,-2.69,0.14,0.0,-0.52,-3.47,0.21,0.15,0.14,-2.03,0.05,-2.33,0.12,-2.81,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0165552999265995,,0.0,
STN,Subthalamic nucleus,HY,Hypothalamus,4,93,6,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TU,Tuberal nucleus,HY,Hypothalamus,1,69,8,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0075937396718147,,0.0,
ZI,Zona incerta,HY,Hypothalamus,50,3180,352,True,0.03,0.02,-0.45,-2.52,0.13,0.11,-0.28,-2.93,0.23,0.22,0.03,-1.79,0.11,-2.12,0.09,-2.54,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0219700136164355,,1.0,
SCs,Superior colliculus sensory related,MB,Midbrain,31,2259,185,True,0.02,0.02,-0.6,-2.64,0.09,0.06,-0.71,-3.1,0.21,0.19,0.07,-1.66,0.07,-2.51,0.09,-3.02,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0063156598563083,,0.0,
IC,Inferior colliculus,MB,Midbrain,26,5812,458,True,0.01,0.0,-0.64,-2.7,0.07,0.0,-1.08,-3.16,0.44,0.3,0.33,-1.76,0.11,-2.34,0.04,-3.32,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0178837643417938,,0.0,
NB,Nucleus of the brachium of the inferior colliculus,MB,Midbrain,4,280,23,True,0.06,0.0,-0.01,-2.6,0.1,0.0,-0.26,-3.12,0.39,0.38,1.16,-1.77,0.08,-2.57,-0.01,-5.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0433268833712636,,0.0,
SAG,Nucleus sagulum,MB,Midbrain,4,253,51,True,0.08,0.04,-0.34,-2.75,0.12,0.0,-0.87,-3.46,0.22,0.17,0.22,-2.32,0.04,-2.79,0.03,-3.85,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,-0.020025945879643,,0.0,
PBG,Parabigeminal nucleus,MB,Midbrain,3,146,14,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0271411772942899,,0.0,
SNr,Substantia nigra reticular part,MB,Midbrain,21,1369,149,True,0.06,0.0,0.01,-2.04,0.23,0.12,-0.03,-2.76,0.3,0.24,0.21,-1.71,0.12,-1.9,0.09,-2.47,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0786165953753877,,1.0,
VTA,Ventral tegmental area,MB,Midbrain,8,310,17,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RR,Midbrain reticular nucleus retrorubral area,MB,Midbrain,7,430,60,True,0.03,0.0,-0.66,-2.35,0.05,0.05,-0.66,-3.04,0.13,0.12,-0.13,-1.88,0.15,-5.0,0.04,-5.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0180559968583459,,0.0,
MRN,Midbrain reticular nucleus,MB,Midbrain,137,23026,2678,True,0.06,0.01,-0.2,-2.38,0.21,0.11,-0.26,-2.89,0.35,0.29,-0.12,-1.74,0.14,-2.19,0.19,-2.68,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.048349604345305,,1.0,
SCm,Superior colliculus motor related,MB,Midbrain,78,14140,1666,True,0.06,0.01,-0.33,-2.39,0.19,0.1,-0.26,-2.92,0.34,0.31,0.0,-1.61,0.15,-2.19,0.21,-2.65,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0449130368289413,,1.0,
PAG,Periaqueductal gray,MB,Midbrain,55,6968,733,True,0.02,0.01,-0.63,-2.65,0.12,0.05,-0.79,-3.01,0.28,0.26,-0.11,-1.87,0.12,-2.31,0.1,-2.99,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0315234694148411,,1.0,
APN,Anterior pretectal nucleus,MB,Midbrain,63,14098,1543,True,0.06,0.01,-0.54,-2.6,0.19,0.07,-0.2,-3.07,0.31,0.19,0.1,-2.0,0.15,-2.35,0.22,-2.91,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0365391420074419,,1.0,
MPT,Medial pretectal area,MB,Midbrain,2,22,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOT,Nucleus of the optic tract,MB,Midbrain,25,835,92,True,0.09,0.07,-0.04,-2.73,0.12,0.08,-0.43,-3.28,0.13,0.08,-0.18,-2.39,0.05,-2.68,0.05,-3.07,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.0031154749502151,,0.0,
NPC,Nucleus of the posterior commissure,MB,Midbrain,12,804,71,True,0.06,0.0,-0.24,-2.27,0.18,0.19,-0.01,-2.84,0.37,0.47,0.17,-1.71,0.13,-2.31,0.2,-2.62,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0189293812493103,,0.0,
OP,Olivary pretectal nucleus,MB,Midbrain,5,146,39,True,0.1,0.08,-0.03,-2.55,0.12,0.03,-0.6,-3.5,0.13,0.26,0.18,-2.37,0.01,-3.15,0.06,-5.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,-0.0036743774888763,,0.0,
PPT,Posterior pretectal nucleus,MB,Midbrain,13,411,70,True,0.02,0.0,-0.11,-2.61,0.09,0.0,-0.26,-3.14,0.07,0.11,-0.16,-2.51,0.02,-2.69,0.11,-2.69,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0323605204842103,,1.0,
RPF,Retroparafascicular nucleus,MB,Midbrain,4,377,42,True,0.02,0.02,-0.3,-2.59,0.22,0.26,-0.01,-2.59,0.34,0.31,0.23,-2.1,0.15,-2.18,0.2,-2.05,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.0015191136014905,,0.0,
